HGNC.symbol,Alias
ABCA7,ABCA7
ACD,POT1
ACE,ACE
ACTN4,ACTN4
ACVR2B,ACVR2B
ADAMTS1,ADAMTS1
ADAMTS18,ADAMTS18
ADAMTS4,ADAMTS4
ADARB2,ADARB2
AGA,AGA
AGT,AGT
AGTR1,AGTR1
AGTR2,AGTR2
AHI1,AHI1
AIRE,AIRE
AKAP11,AKAP11
ALDH1A2,ALDH1A2
ALDH1A3,ALDH1A3
AMER1,AMER1
AMHR2,AMHR2
APLNR,APLNR
APRT,APRT
AQP11,AQP11
AQP2,AQP2
ARHGAP1,ARHGAP1
ARHGAP35,ARHGAP35
ARHGDIA,ARHGDIA
ARID5B,ARID5B
ARL3,ARL3
ATMIN,ATMIN
ATP6V0A4,ATP6V0A4
ATP7A,ATP7A
ATR,ATR
C16orf89,C16orf89
AVPR2,AVPR2
AXIN1,AXIN1
B4GALNT1,B4GALNT1
B9D1,B9D1
BAG6,BAG6
BAZ2A,BAZ2A
BBS2,BBS2
BBS4,BBS4
BCL2,BCL2
BCL2L11,BCL2L11
BCS1L,BCS1L
BDKRB1,BDKRB1
BDKRB2,BDKRB2
BICC1,BICC1
BIK,BIK
BMP4,BMP4
BMP5,BMP5
BMP7,BMP7
BMPER,BMPER
BSND,BSND
BTBD1,BTBD1
C1RL,C1RL
C3AR1,C3AR1
CBS,CBS
CCDC88B,CCDC88B
CD151,CD151
CDC73,CDC73
CDH4,CDH4
CDH6,CDH6
CDK10,CDK10
CDKN1C,CDKN1C
CDKN2B,CDKN2B
CDKN2C,CDKN2C
CEP290,CEP290
CES1,CES1
CFH,CFH
CHRNA3,CHRNA3
CHST14,CHST14
CLCNKA,CLCNKA
CLDN4,CLDN4
CLEC6A,CLEC6A
COL4A1,COL4A1
COL4A3,COL4A3
COL4A4,COL4A4
COL4A5,COL4A5
CPLANE1,C5orf42
CRB3,CRB3
CRIM1,CRIM1
CTNNB1,CTNNB1
CTNNBIP1,CTNNBIP1
CXCL14,CXCL14
CYGB,CYGB
CYP26A1,CYP26A1
CYS1,CYS1
DACT1,DACT1
DACT3,DACT3
DCHS1,DCHS1
DCN,DCN
DKC1,DKC1
DKK1,DKK1
DLG1,DLG1
DLG5,DLG5
DNAH5,DNAH5
DSPP,DSPP
DYM,DYM
DZIP1L,DZIP1L
EDC3,EDC3
EFNA5,EFNA5
EMX2,EMX2
ERCC1,ERCC1
ESRRG,ESRRG
ETV4,ETV4
ETV5,ETV5
EYA1,EYA1
FAH,FAH
FAIM2,FAIM2
FAM20A,FAM20A
FAM72A,FAM72A
FAT1,FAT1
FAT4,FAT4
FBN2,FBN2
FGF10,FGF10
FGF7,FGF7
FGF8,FGF8
FGFR2,FGFR2
FGFRL1,FGFRL1
FH,FH
FJX1,FJX1
FLCN,FLCN
FMN1,FMN1
FOXC1,FOXC1
FOXC2,FOXC2
FOXD1,FOXD1
FOXD2,FOXD2
FRAS1,FRAS1
FREM1,FREM1
FREM2,FREM2
FRYL,FRYL
FSTL1,FSTL1
FYN,FYN
FZD4,FZD4
G6PC,G6PC
GATA2,GATA2
GATA5,GATA5
GDF11,GDF11
GDNF,GDNF
GEN1,GEN1
GFRA1,GFRA1
GH1,GH1
GHR,GHR
GLCE,GLCE
GLDC,GLDC
GLI3,GLI3
GLIS2,GLIS2
GLIS3,GLIS3
GNE,GNE
GOLM1,GOLM1
GPA33,GPA33
GPC3,GPC3
GPR39,GPR39
GREB1L,GREB1L
GREM1,GREM1
GRIP1,GRIP1
THUMPD3-AS1,THUMPD3-AS1
HM13,HM13
H3-3B,H3F3B
HAAO,HAAO
HELLS,HELLS
HIF1A,HIF1A
HIVEP3,HIVEP3
HMX2,HMX2
HOXA11,HOXA11
HOXA13,HOXA13
HOXB6,HOXB6
HOXC10,HOXC10
HOXC11,HOXC11
HOXD11,HOXD11
HOXD9,HOXD9
HPSE2,HPSE2
HPX,HPX
HRAS,HRAS
HS2ST1,HS2ST1
HSD17B2,HSD17B2
HSPA4L,HSPA4L
HSPA5,HSPA5
ID2,ID2
IFT140,IFT140
IFT172,IFT172
IFT20,IFT20
IFT27,IFT27
IFT46,IFT46
IFT88,IFT88
IGF2BP1,IGF2BP1
IL13,IL13
ILK,ILK
IMPA2,IMPA2
INPP5E,INPP5E
INS,INS
INVS,INVS
ITGA3,ITGA3
ITGA8,ITGA8
ITGB1,ITGB1
JAG1,JAG1
JMJD6,JMJD6
JUNB,JUNB
KCNJ1,KCNJ1
KCP,KCP
KIF26B,KIF26B
KIF3A,KIF3A
KL,KL
KLHL5,KLHL5
KLK12,KLK12
LAMA5,LAMA5
LAMC1,LAMC1
LCMT1,LCMT1
LGALS3,LGALS3
LGMN,LGMN
LGR4,LGR4
LHX1,LHX1
LIFR,LIFR
LIN7C,LIN7C
LMX1B,LMX1B
LRP4,LRP4
LRP2,LRP2
LRRC8A,LRRC8A
LRRK2,LRRK2
LTBP1,LTBP1
LZTS2,LZTS2
MAF,MAF
MAFB,MAFB
MAPK7,MAPK7
MAZ,MAZ
MDM2,MDM2
MDM4,MDM4
MEF2C,MEF2C
MEGF8,MEGF8
MEIS1,MEIS1
MET,MET
MEX3B,MEX3B
MKS1,MKS1
MMP14,MMP14
MMP17,MMP17
MPLKIP,MPLKIP
MT1A,MT1A
MTSS1,MTSS1
MXI1,MXI1
MYBPHL,MYBPHL
MYCN,MYCN
NACC1,NACC1
NDST1,NDST1
NEDD4L,NEDD4L
NEK1,NEK1
NEK8,NEK8
NEU1,NEU1
NF1,NF1
NFAT5,NFAT5
NFIA,NFIA
NLRP3,NLRP3
NOG,NOG
NOS3,NOS3
NOTCH2,NOTCH2
NOTCH3,NOTCH3
NOTUM,NOTUM
NPHP3,NPHP3
NPHS1,NPHS1
NPHS2,NPHS2
NPNT,NPNT
OFD1,OFD1
OSR1,OSR1
OVOL1,OVOL1
PARVA,PARVA
PAX2,PAX2
PAX8,PAX8
PBX1,PBX1
PCNT,PCNT
PCSK5,PCSK5
PDCD4,PDCD4
PDE1A,PDE1A
PDGFA,PDGFA
PDGFB,PDGFB
PDGFC,PDGFC
PDGFRB,PDGFRB
PDS5A,PDS5A
PDSS2,PDSS2
PEX1,PEX1
PEX5,PEX5
PIGV,PIGV
PKD1,PKD1
PKD2,PKD2
PKHD1,PKHD1
PLEKHM1,PLEKHM1
PLXNB1,PLXNB1
PLXNB2,PLXNB2
PLXND1,PLXND1
PORCN,PORCN
POU3F3,POU3F3
PPP3R1,PPP3R1
PRICKLE1,PRICKLE1
PSAP,PSAP
PTEN,PTEN
PTGIS,PTGIS
PTGS2,PTGS2
PTK7,PTK7
PTPRF,PTPRF
PTPRS,PTPRS
PTRH2,PTRH2
PYGO1,PYGO1
PYGO2,PYGO2
QRICH1,QRICH1
RARA,RARA
RARB,RARB
RARG,RARG
RDH10,RDH10
REN,REN
RERE,RERE
RET,RET
ROBO1,ROBO1
ROBO2,ROBO2
RRM2B,RRM2B
RSPO2,RSPO2
SALL1,SALL1
SALL2,SALL2
SALL4,SALL4
SC5D,SC5D
SCARB2,SCARB2
SDCCAG8,SDCCAG8
SESTD1,SESTD1
SGPL1,SGPL1
SGSH,SGSH
SH3PXD2A,SH3PXD2A
SHH,SHH
SIX1,SIX1
SIX2,SIX2
SLC12A1,SLC12A1
SLC2A9,SLC2A9
SLC41A3,SLC41A3
SLIT3,SLIT3
SMAD3,SMAD3
SMAD4,SMAD4
SMG9,SMG9
SOX4,SOX4
SPRY1,SPRY1
SPTB,SPTB
SULF1,SULF1
SULF2,SULF2
T,T
TBX18,TBX18
TBX6,TBX6
TCF21,TCF21
TFAP2B,TFAP2B
TFCP2L1,TFCP2L1
TGFB2,TGFB2
TIMP3,TIMP3
TNS1,TNS1
TOM1L2,TOM1L2
TP53,TP53
TSC1,TSC1
TSC2,TSC2
TSHZ3,TSHZ3
TWSG1,TWSG1
TYR,TYR
UOX,UOX
VAMP8,VAMP8
VANGL2,VANGL2
VHL,VHL
WAS,WAS
WNT11,WNT11
WNT4,WNT4
WNT5A,WNT5A
WNT7B,WNT7B
WNT9B,WNT9B
WT1,WT1
WWTR1,WWTR1
XDH,XDH
XYLT2,XYLT2
YES1,YES1
